src,dst,src_neo4j_id,dst_neo4j_id,rel,decision,props_json
36,1,77,5,INDICATES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Recommendations for estimating, adjusting and reclassifying the likelihood of obstructive atherosclerotic coronary artery disease in the initial diagnostic management of individuals with suspected chronic coronary syndrome (see also Evidence Table 3)\nRecommendations for estimating, adjusting and reclassifying the likelihood of obstructive atherosclerotic coronary artery disease in the initial diagnostic management of individuals with suspected chronic coronary syndrome (see also Evidence Table 3)""}"
39,240,81,1137,HAS_ONTOLOGY,,{}
40,53,87,147,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Individual adjustment of the likelihood may be necessary for individuals with severe single risk factors or comorbidities associated with an increased prevalence of obstructive CAD, which are not reflected in the RF-CL model, e.g. familial hypercholesterolaemia, severe kidney dysfunction, rheumatic/inflammatory diseases, and peripheral artery disease (PAD).""}"
41,1,89,5,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Because of their high prevalence in CCS patients, diabetes, chronic obstructive pulmonary disease, kidney disease, and peripheral and cerebral vascular disease are particularly relevant.""}"
42,1,92,5,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Because of their high prevalence in CCS patients, diabetes, chronic obstructive pulmonary disease, kidney disease, and peripheral and cerebral vascular disease are particularly relevant.""}"
43,234,93,1131,HAS_ONTOLOGY,,{}
43,44,93,94,INDICATES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Recent-onset anginal symptoms with changing frequency or intensity should raise the suspicion that a coronary atherosclerotic plaque may be destabilizing.""}"
45,225,96,1122,HAS_ONTOLOGY,,{}
46,36,107,77,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Atrial fibrillation (AF) is not rarely associated with CCS.68ST-segment depression during supraventricular tachyarrhythmias, however, is not a strong predictor of obstructive CAD.69–72\nThe ECG can be crucial for diagnosing transient myocardial ischaemia by recording dynamic ST-segment changes during ongoing angina.""}"
46,1,107,5,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Atrial fibrillation (AF) is not rarely associated with CCS.68ST-segment depression during supraventricular tachyarrhythmias, however, is not a strong predictor of obstructive CAD.69–72\nThe ECG can be crucial for diagnosing transient myocardial ischaemia by recording dynamic ST-segment changes during ongoing angina.""}"
49,233,129,1130,HAS_ONTOLOGY,,{}
53,35,147,72,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Consider local availability and expertise, and individual characteristics when choosing non-invasive testing.Table 6offers tips for selecting the first-line test in people with suspected CCS.aHigh–risk CAD: obstructive CAD at high risk of adverse events by CCTA: ≥50% stenosis of the left main stem; three–vessel disease with severe stenoses (≥70% diameter stenosis); single- or two–vessel disease including the proximal LAD with severe stenoses.""}"
53,0,147,3,INDICATES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""If available, and if no contraindications are met, stress CMR is recommended as an option in patients with suspected CCS with moderate or high (>15%–85%) pre-test likelihood of obstructive CAD or known CCS, particularly if additional information on cardiac function and tissue characterization is warranted.""}"
57,53,181,147,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Individual adjustment of the likelihood may be necessary for individuals with severe single risk factors or comorbidities associated with an increased prevalence of obstructive CAD, which are not reflected in the RF-CL model, e.g. familial hypercholesterolaemia, severe kidney dysfunction, rheumatic/inflammatory diseases, and peripheral artery disease (PAD).""}"
59,53,192,147,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""The diagnosis of CCS is based on interpreting the individual’s symptoms, balancing the impact of age, sex, risk factors, and comorbidities on the likelihood that CCS is present, and choosing the most appropriate diagnostic test to confirm the clinically suspected diagnosis.""}"
60,12,202,19,INDICATES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Diastolic LV dysfunction has been reported to be an early sign of ischaemic myocardial dysfunction and may also be indicative of microvascular dysfunction.174,175\nEchocardiography can help in detecting alternative causes of chest pain (e.g. pericarditis) and in diagnosing valvular heart diseases, ischaemic HF, and most cardiomyopathies,176though these diseases may co-exist with obstructive CAD.""}"
60,61,202,203,INDICATES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Diastolic LV dysfunction has been reported to be an early sign of ischaemic myocardial dysfunction and may also be indicative of microvascular dysfunction.174,175\nEchocardiography can help in detecting alternative causes of chest pain (e.g. pericarditis) and in diagnosing valvular heart diseases, ischaemic HF, and most cardiomyopathies,176though these diseases may co-exist with obstructive CAD.""}"
66,53,231,147,INDICATES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Exercise ECG testing may modify the likelihood of obstructive CAD and can be used in patients with low (>5%–15%) clinical likelihood, in whom a negative test allows reclassification to the very low (≤5%) clinical likelihood group with a favourable prognosis.144However, CCTA as a first-line diagnostic test can give more accurate information and has been associated with fewer angina symptoms during follow-up than a strategy with exercise ECG as the first investigation.145–148In addition, more adverse events were observed in randomized trials with an exercise ECG than with a CCTA-based diagnostic strategy.34,146However, exercise ECG remains clinically useful for reproducing anginal symptoms, which have a prognostic value.149,150\nIn contrast to exercise ECG, visualization of calcified atherosclerotic plaque in the coronary artery significantly impacts the clinical likelihood of atherosclerotic obstructive CAD.""}"
67,53,238,147,DIAGNOSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""In general, individuals with a very low (≤5%) likelihood of obstructive CAD do not require further diagnostic testing unless symptoms persist and non-cardiac causes have been excluded.""}"
68,53,239,147,DIAGNOSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""In patients with a low (>5%–15%) likelihood of obstructive CAD, the benefit of diagnostic testing is uncertain but may be performed if symptoms are limiting and require clarification.""}"
69,53,241,147,DIAGNOSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Patients with moderate (>15%–50%), high (>50%–85%), and very high (>85%) likelihood of obstructive CAD are encouraged to undergo further diagnostic testing.""}"
70,53,242,147,DIAGNOSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Patients with moderate (>15%–50%), high (>50%–85%), and very high (>85%) likelihood of obstructive CAD are encouraged to undergo further diagnostic testing.""}"
79,232,268,1129,HAS_ONTOLOGY,,{}
88,25,328,36,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Functional disorders leading to ANOCA/INOCA (e.g. MVA and VSA) are more common in women than in men.298,299A recent meta-analysis reported an overall prevalence of MVA of 41% and VSA of 40% in selected patients without obstructive CAD.299However, the true prevalence in unselected patient populations with suspected CCS remains unclear.""}"
88,87,328,327,INDICATES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Functional disorders leading to ANOCA/INOCA (e.g. MVA and VSA) are more common in women than in men.298,299A recent meta-analysis reported an overall prevalence of MVA of 41% and VSA of 40% in selected patients without obstructive CAD.299However, the true prevalence in unselected patient populations with suspected CCS remains unclear.""}"
89,25,329,36,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Functional disorders leading to ANOCA/INOCA (e.g. MVA and VSA) are more common in women than in men.298,299A recent meta-analysis reported an overall prevalence of MVA of 41% and VSA of 40% in selected patients without obstructive CAD.299However, the true prevalence in unselected patient populations with suspected CCS remains unclear.""}"
89,87,329,327,INDICATES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Functional disorders leading to ANOCA/INOCA (e.g. MVA and VSA) are more common in women than in men.298,299A recent meta-analysis reported an overall prevalence of MVA of 41% and VSA of 40% in selected patients without obstructive CAD.299However, the true prevalence in unselected patient populations with suspected CCS remains unclear.""}"
91,92,332,333,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Several measurements that rely on quantifying blood flow through the coronary circulation are used to describe the function of the microvasculature to identify cases of MVA.""}"
96,25,343,36,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""In all patients with established ANOCA/INOCA due to the frequent presence of coronary atherosclerosis and endothelial dysfunction, tailored counselling on lifestyle factors is warranted to address risk factors, reduce symptoms, and improve QoL and prognosis.""}"
97,2,349,6,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""In these patients, the prevalence of demonstrable ischaemia (INOCA) varies, depending on the stress test performed, between 10% and 30% (Figure 12).926–928Angina/ischaemia with non-obstructive coronary arteries is more frequent among women (approximately 50% to 70%) than in men (30% to 50%) referred for ICA.7,929The mismatch between blood supply and myocardial oxygen demands leading to angina and ischaemia in ANOCA/INOCA may be caused by CMD and/or epicardial coronary artery spasm.36However, these conditions are rarely correctly diagnosed, and, therefore, no tailored therapy is prescribed for these patients.""}"
97,116,349,455,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Doppler guidewires, is present in 50%, while ischaemia (INOCA) is documented by non-invasive functional testing in only 25% of ANOCA patients.""}"
97,2,349,6,INDICATES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Angina with non-obstructive coronary arteries occurs in up to 70% of the patients undergoing ICA, of whom 25% have documented ischaemia (INOCA).""}"
97,19,349,28,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Endothelial dysfunction is present in 80% and an acetylcholine test is positive in 60% of these patients.""}"
97,36,349,77,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""ANOCA, angina with non-obstructive coronary arteries; CAD, coronary artery disease; CCS, chronic coronary syndrome; CCTA, coronary computed tomography angiography; CMR, cardiac magnetic resonance; Echo, echocardiography; FFR, fractional flow reserve; ICFT, invasive coronary functional testing; iFR, instantaneous wave-free ratio; INOCA, ischaemia with non-obstructed coronary arteries; LV, left ventricular; PET, positron emission tomography; SPECT, single-photon emission computed tomography.""}"
114,88,447,328,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""The prevalence of MVA was 26% in a study of patients with non-obstructive CAD who had a CFVR below 2 when assessed by transthoracic Doppler echocardiography.934Studies assessing CMD invasively or by PET with different cut-offs have found that 39% to 54% had CMD.935,936The threshold for CMD varies between studies and depending on the techniques used (PET, CMR, thermodilution, or Doppler); the threshold is a CFR of <2.0–2.5.36,39A thermodilution CFR of <2.0 has low sensitivity for identifying CMD, but using the same threshold as for Doppler (<2.5) results in reasonable diagnostic accuracy.937\nSmoking, age, diabetes, hypertension, and dyslipidaemia are associated with CMD.934,935,938Other studies have shown that diabetes was uncommon among patients with angina and non-obstructive CAD, while hypertension and dyslipidaemia were relatively more prevalent.939,940Inflammatory conditions such as systemic lupus erythematosus (SLE) and rheumatoid arthritis appear to be associated with MVA and are not infrequently encountered in patients with angina.941Inflammatory diseases occur more often in women after menopause than in men, which may contribute to the sex differences in MVA.942–944Last, but not least, there is increasing evidence that psychosocial stress is involved in coronary vasomotor disorders.945,946""}"
114,53,447,147,PRECEDES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""aPrevalence of ischaemia by non-invasive functional testing increases from non-obstructive to obstructive CAD.""}"
114,1,447,5,INDICATES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""aPrevalence of ischaemia by non-invasive functional testing increases from non-obstructive to obstructive CAD.""}"
116,14,455,21,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""In these patients, the prevalence of demonstrable ischaemia (INOCA) varies, depending on the stress test performed, between 10% and 30% (Figure 12).926–928Angina/ischaemia with non-obstructive coronary arteries is more frequent among women (approximately 50% to 70%) than in men (30% to 50%) referred for ICA.7,929The mismatch between blood supply and myocardial oxygen demands leading to angina and ischaemia in ANOCA/INOCA may be caused by CMD and/or epicardial coronary artery spasm.36However, these conditions are rarely correctly diagnosed, and, therefore, no tailored therapy is prescribed for these patients.""}"
116,2,455,6,INDICATES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Angina with non-obstructive coronary arteries occurs in up to 70% of the patients undergoing ICA, of whom 25% have documented ischaemia (INOCA).""}"
116,14,455,21,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""In these patients, the prevalence of demonstrable ischaemia (INOCA) varies, depending on the stress test performed, between 10% and 30% (Figure 12).926–928Angina/ischaemia with non-obstructive coronary arteries is more frequent among women (approximately 50% to 70%) than in men (30% to 50%) referred for ICA.7,929The mismatch between blood supply and myocardial oxygen demands leading to angina and ischaemia in ANOCA/INOCA may be caused by CMD and/or epicardial coronary artery spasm.36However, these conditions are rarely correctly diagnosed, and, therefore, no tailored therapy is prescribed for these patients.""}"
116,36,455,77,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""ANOCA, angina with non-obstructive coronary arteries; CAD, coronary artery disease; CCS, chronic coronary syndrome; CCTA, coronary computed tomography angiography; CMR, cardiac magnetic resonance; Echo, echocardiography; FFR, fractional flow reserve; ICFT, invasive coronary functional testing; iFR, instantaneous wave-free ratio; INOCA, ischaemia with non-obstructed coronary arteries; LV, left ventricular; PET, positron emission tomography; SPECT, single-photon emission computed tomography.""}"
117,155,456,639,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""About half of acute and chronic HF patients have an ischaemic aetiology.880,881Over the last decades, the proportion of ischaemic HFrEF has decreased while that of HFpEF, defined according to the 2021 ESC Guidelines for the diagnosis and treatment of acute and chronic heart failure,526has increased.882The evaluation of inducible ischaemia is important in patients with HF, given the high prevalence of CAD.883–885Moreover, patients with HFpEF may present MVA due to CMD.886Indeed, CMD was observed in up to 75% of patients with HFpEF and was associated with worse diastolic relaxation velocities, as well as higher filling pressures, and an increased risk of adverse events.883–885,887–890Clinical assessment alone may under-estimate the proportion of patients with obstructive or non-obstructive CAD, which can be found in up to 81% of HFpEF patients.887Under-estimation of obstructive CAD leads to failure in identifying those patients who may benefit from revascularization.""}"
123,53,489,147,INDICATES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Through the intravenous (i.v.) injection of contrast agent, CCTA allows direct anatomical visualization of the coronary artery lumen and wall.""}"
125,14,497,21,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Through the intravenous (i.v.) injection of contrast agent, CCTA allows direct anatomical visualization of the coronary artery lumen and wall.""}"
129,14,523,21,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Hence, its diagnostic performance for multivessel CAD has improved substantially.261However, non-obstructive coronary atherosclerosis not linked with ischaemia remains undetected by functional testing in general.""}"
131,132,546,547,INDICATES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Invasive coronary angiography with available coronary pressure assessment49,308–311,313is indicated in patients with a very high (>85%) clinical likelihood of obstructive CAD,1in particular those with severe symptoms refractory to antianginal treatment, or characteristic angina or dyspnoea at a low level of exercise1,47or left ventricle dysfunction suggesting extensive obstructive CAD.47,182,314,315\nInvasive coronary angiography/coronary pressure assessment is also indicated if non-invasive assessment suggests high event risk—e.g. CCTA shows ≥50% left main stenosis, or ≥70% proximal LAD stenosis with single or two-vessel CAD, or ≥70% proximal three-vessel CAD56,182,316,317—or when any stress test shows moderate to severe inducible ischaemia316or when symptoms are highly suggestive for obstructive CAD.""}"
133,53,550,147,INDICATES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Invasive coronary angiography with available coronary pressure assessment49,308–311,313is indicated in patients with a very high (>85%) clinical likelihood of obstructive CAD,1in particular those with severe symptoms refractory to antianginal treatment, or characteristic angina or dyspnoea at a low level of exercise1,47or left ventricle dysfunction suggesting extensive obstructive CAD.47,182,314,315\nInvasive coronary angiography/coronary pressure assessment is also indicated if non-invasive assessment suggests high event risk—e.g. CCTA shows ≥50% left main stenosis, or ≥70% proximal LAD stenosis with single or two-vessel CAD, or ≥70% proximal three-vessel CAD56,182,316,317—or when any stress test shows moderate to severe inducible ischaemia316or when symptoms are highly suggestive for obstructive CAD.""}"
145,5,615,10,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Chronic coronary syndromes can be complicated by cardiovascular death, ischaemic and haemorrhagic events, HF, arrhythmic events, the development of valvular heart disease, and other comorbidities, which are further discussed in theSupplementary data, available atEuropean Heart Journalonline.""}"
145,77,615,265,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Chronic coronary syndromes can be complicated by cardiovascular death, ischaemic and haemorrhagic events, HF, arrhythmic events, the development of valvular heart disease, and other comorbidities, which are further discussed in theSupplementary data, available atEuropean Heart Journalonline.""}"
145,1,615,5,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Chronic coronary syndromes can be complicated by cardiovascular death, ischaemic and haemorrhagic events, HF, arrhythmic events, the development of valvular heart disease, and other comorbidities, which are further discussed in theSupplementary data, available atEuropean Heart Journalonline.""}"
147,53,622,147,INDICATES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""The ISCHEMIA trial using a cut-off of 70% stenosis on CCTA317confirms the very old observations of the Coronary Artery Surgery Study182that the prognosis of obstructive CAD-related CCS is mainly determined by the number of >70% obstructed coronary arteries or by the presence of a left main stenosis (using for the latter a cut-off of >50% diameter stenosis on coronary angiography).317More recently, the classical paradigm that the severity of stenoses and the number of diseased vessels are the main determinants of prognosis has been challenged bypost hocanalyses of the SCOT-HEART trial and other CCTA-based registries showing that plaque burden and presence of adverse plaque characteristics, especially low-attenuation plaque, are the strongest predictors of fatal and non-fatal MI above the classical risk factors, including stenosis severity.210,415–417These findings emphasize a major advantage of anatomical imaging by CCTA as an initial test in selected patients, allowing the assessment of severity and extent of obstructive CAD as well as coronary plaque characteristics.""}"
148,149,624,625,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""The ISCHEMIA trial using a cut-off of 70% stenosis on CCTA317confirms the very old observations of the Coronary Artery Surgery Study182that the prognosis of obstructive CAD-related CCS is mainly determined by the number of >70% obstructed coronary arteries or by the presence of a left main stenosis (using for the latter a cut-off of >50% diameter stenosis on coronary angiography).317More recently, the classical paradigm that the severity of stenoses and the number of diseased vessels are the main determinants of prognosis has been challenged bypost hocanalyses of the SCOT-HEART trial and other CCTA-based registries showing that plaque burden and presence of adverse plaque characteristics, especially low-attenuation plaque, are the strongest predictors of fatal and non-fatal MI above the classical risk factors, including stenosis severity.210,415–417These findings emphasize a major advantage of anatomical imaging by CCTA as an initial test in selected patients, allowing the assessment of severity and extent of obstructive CAD as well as coronary plaque characteristics.""}"
151,1,632,5,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""While FFR of ≤0.8 and iFR of ≤0.89 have been associated with a higher risk of vessel-related cardiovascular events, it is important to remember that a lower FFR/iFR reflects more profound ischaemia in the vessel territory and is associated with a progressive and proportional increase in risk.318,319A similar observation has been made with FFR-CT.401It has also been shown that for any given FFR value, a more proximal lesion is associated with more extensive ischaemia and an increased risk of a clinical event.429In addition, global FFR, summing the coronary pressure collected in each of the three main coronary vessel territories as a single patient-related index (normal value of global FFR = 1 + 1 + 1 = 3), can appreciate overall cardiovascular risk; patients with a borderline FFR but with a global FFR of <2.72 showed a significantly increased risk compared with higher global-FFR patients.430,431One of the main limitations of such a global integrative approach based on invasive coronary pressure is that it requires advancing a pressure wire in each of the three coronary arteries, which is not often performed341and is not recommended as a routine, based on the RIPCORD2347and FUTURE results.346Recent methods using 3-dimensional image reconstruction and computational fluid dynamics enable FFR estimation with CCTA432or with 'wire-less' invasive coronary angiography.433,434This allows a less invasive, easier and more accurate global FFR calculation, provided imaging is of sufficiently good quality.369–371\nIn summary, when assessing event risk, clinicians should choose an integrative approach, considering risk factors, comorbidities, LV dysfunction, the severity of myocardial ischaemia, the number of functionally significantly stenotic coronary arteries, and the coronary plaque burden and characteristics, as all of these are likely interrelated factors that affect overall prognosis.""}"
153,202,637,798,ASSOCIATED_WITH,,"{""source_sentences"": ""Prior MI and ischaemic aetiology are negative prognostic markers in patients with advanced HF,1205as well as in those with secondary mitral regurgitation.1206Specific treatments need to be considered in these patients regardless of HF aetiology (i.e. ischaemic).526Advanced HF treatments include: high diuretic doses; a combination of diuretics and renal replacement therapy to treat congestion; inotropic and vasopressor agents to reduce hypoperfusion; and mechanical circulatory support in selected patients with severe symptoms or exercise intolerance, despite optimal medical therapies, and without right ventricular dysfunction.""}"
153,154,637,638,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""About half of acute and chronic HF patients have an ischaemic aetiology.880,881Over the last decades, the proportion of ischaemic HFrEF has decreased while that of HFpEF, defined according to the 2021 ESC Guidelines for the diagnosis and treatment of acute and chronic heart failure,526has increased.882The evaluation of inducible ischaemia is important in patients with HF, given the high prevalence of CAD.883–885Moreover, patients with HFpEF may present MVA due to CMD.886Indeed, CMD was observed in up to 75% of patients with HFpEF and was associated with worse diastolic relaxation velocities, as well as higher filling pressures, and an increased risk of adverse events.883–885,887–890Clinical assessment alone may under-estimate the proportion of patients with obstructive or non-obstructive CAD, which can be found in up to 81% of HFpEF patients.887Under-estimation of obstructive CAD leads to failure in identifying those patients who may benefit from revascularization.""}"
169,186,687,747,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Failure to diagnose epicardial obstructive CAD in a patient with documented ischaemia should stimulate a subsequent search pathway to elucidate ANOCA/INOCA endotypes.""}"
172,230,696,1127,HAS_ONTOLOGY,,{}
179,12,737,19,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Microvascular angina is the clinical manifestation of myocardial ischaemia caused by structural or functional changes in the coronary microvasculature (leading to impaired CFR and/or reduced microcirculatory conductance) and/or abnormal vasoconstriction of coronary arterioles (causing dynamic arteriolar obstruction).932,933Both vascular dysfunction mechanisms may co-exist and contribute to MVA.""}"
180,12,738,19,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Microvascular angina is the clinical manifestation of myocardial ischaemia caused by structural or functional changes in the coronary microvasculature (leading to impaired CFR and/or reduced microcirculatory conductance) and/or abnormal vasoconstriction of coronary arterioles (causing dynamic arteriolar obstruction).932,933Both vascular dysfunction mechanisms may co-exist and contribute to MVA.""}"
181,88,739,328,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""The prevalence of MVA was 26% in a study of patients with non-obstructive CAD who had a CFVR below 2 when assessed by transthoracic Doppler echocardiography.934Studies assessing CMD invasively or by PET with different cut-offs have found that 39% to 54% had CMD.935,936The threshold for CMD varies between studies and depending on the techniques used (PET, CMR, thermodilution, or Doppler); the threshold is a CFR of <2.0–2.5.36,39A thermodilution CFR of <2.0 has low sensitivity for identifying CMD, but using the same threshold as for Doppler (<2.5) results in reasonable diagnostic accuracy.937\nSmoking, age, diabetes, hypertension, and dyslipidaemia are associated with CMD.934,935,938Other studies have shown that diabetes was uncommon among patients with angina and non-obstructive CAD, while hypertension and dyslipidaemia were relatively more prevalent.939,940Inflammatory conditions such as systemic lupus erythematosus (SLE) and rheumatoid arthritis appear to be associated with MVA and are not infrequently encountered in patients with angina.941Inflammatory diseases occur more often in women after menopause than in men, which may contribute to the sex differences in MVA.942–944Last, but not least, there is increasing evidence that psychosocial stress is involved in coronary vasomotor disorders.945,946""}"
182,88,740,328,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""The prevalence of MVA was 26% in a study of patients with non-obstructive CAD who had a CFVR below 2 when assessed by transthoracic Doppler echocardiography.934Studies assessing CMD invasively or by PET with different cut-offs have found that 39% to 54% had CMD.935,936The threshold for CMD varies between studies and depending on the techniques used (PET, CMR, thermodilution, or Doppler); the threshold is a CFR of <2.0–2.5.36,39A thermodilution CFR of <2.0 has low sensitivity for identifying CMD, but using the same threshold as for Doppler (<2.5) results in reasonable diagnostic accuracy.937\nSmoking, age, diabetes, hypertension, and dyslipidaemia are associated with CMD.934,935,938Other studies have shown that diabetes was uncommon among patients with angina and non-obstructive CAD, while hypertension and dyslipidaemia were relatively more prevalent.939,940Inflammatory conditions such as systemic lupus erythematosus (SLE) and rheumatoid arthritis appear to be associated with MVA and are not infrequently encountered in patients with angina.941Inflammatory diseases occur more often in women after menopause than in men, which may contribute to the sex differences in MVA.942–944Last, but not least, there is increasing evidence that psychosocial stress is involved in coronary vasomotor disorders.945,946""}"
191,5,767,10,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Ischaemic heart disease is the leading cause of mortality for women, yet they have been historically underrepresented in RCTs.1011–1013Differences in symptom presentation, in the accuracy of diagnostic tests for obstructive CAD, and other factors that lead to differential triage, evaluation, or early treatment of women with myocardial ischaemia compared with men could contribute to unfavourable outcomes.""}"
191,5,767,10,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Between 2015 and 2050, the proportion of the world’s population aged >60 years is set to nearly double to 22%.""}"
192,5,768,10,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Ischaemic heart disease is the leading cause of mortality for women, yet they have been historically underrepresented in RCTs.1011–1013Differences in symptom presentation, in the accuracy of diagnostic tests for obstructive CAD, and other factors that lead to differential triage, evaluation, or early treatment of women with myocardial ischaemia compared with men could contribute to unfavourable outcomes.""}"
192,5,768,10,ASSOCIATED_WITH,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Between 2015 and 2050, the proportion of the world’s population aged >60 years is set to nearly double to 22%.""}"
194,5,779,10,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Ageing predisposes patients to a high incidence and prevalence of CAD, in both men and women.""}"
195,196,780,781,INDICATES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Typically, in the context of CVD, older patients are defined as those ≥75 years of age;1it should be noted, however, that such age cut-offs are relatively arbitrary, and biological age influences this threshold in clinical practice.""}"
200,238,791,1135,HAS_ONTOLOGY,,{}
202,217,798,863,CAUSES,,"{""knowledge_source"": ""2024 ESC CCS Guidelines"", ""source_sentences"": ""Invasive coronary angiography is recommended in patients with secondary mitral regurgitation as this condition is frequently due to ischaemic LV dysfunction.1068Routine stress testing to detect CAD associated with severe symptomatic valvular heart disease is not recommended because of low diagnostic value and potential risk.""}"
